m,n,distribution,analytic_mean,bs_mean,BS_t_interval_lower,analytic_t_interval_lower,BS_t_interval_upper,analytic_t_interval_upper,analytic_se,bs_se,BS_likelihood_mle_lower,BS_likelihood_lr_lower,BS_nonparametric_lower,BS_likelihood_mle_upper,BS_likelihood_lr_upper,BS_nonparametric_upper
200,10,gamma,2,1.778812856,0.976126099,1.123461353,2.581499613,2.876538647,0.447213595,0.451428867,0.910191959,0.910189279,0.976126099,2.748264123,2.748247243,2.581499613
500,10,gamma,2,1.80163758,0.940833577,1.123461353,2.662441583,2.876538647,0.447213595,0.453236671,0.910191959,0.910189279,0.940833577,2.748264123,2.748247243,2.662441583
1000,10,gamma,2,1.825150075,0.942860134,1.123461353,2.707440017,2.876538647,0.447213595,0.460562385,0.910191959,0.910189279,0.942860134,2.748264123,2.748247243,2.707440017
2000,10,gamma,2,1.856837922,0.987398879,1.123461353,2.726276966,2.876538647,0.447213595,0.447552002,0.910191959,0.910189279,0.987398879,2.748264123,2.748247243,2.726276966
5000,10,gamma,2,1.849725439,1.00395809,1.123461353,2.695492788,2.876538647,0.447213595,0.435492546,0.910191959,0.910189279,1.00395809,2.748264123,2.748247243,2.695492788
10000,10,gamma,2,1.860423341,1.008628985,1.123461353,2.712217698,2.876538647,0.447213595,0.436255826,0.910191959,0.910189279,1.008628985,2.748264123,2.748247243,2.712217698
200,50,gamma,2,1.509988354,1.186575089,1.608,1.833401619,2.392,0.2,0.163042837,1.215359417,1.215365844,1.186575089,1.844886931,1.844878522,1.833401619
500,50,gamma,2,1.519726049,1.195981893,1.608,1.843470205,2.392,0.2,0.166044583,1.215359417,1.215365844,1.195981893,1.844886931,1.844878522,1.843470205
1000,50,gamma,2,1.536820598,1.223010016,1.608,1.85063118,2.392,0.2,0.161928836,1.215359417,1.215365844,1.223010016,1.844886931,1.844878522,1.85063118
2000,50,gamma,2,1.534088783,1.222662959,1.608,1.845514606,2.392,0.2,0.160167775,1.215359417,1.215365844,1.222662959,1.844886931,1.844878522,1.845514606
5000,50,gamma,2,1.542905869,1.223762705,1.608,1.862049033,2.392,0.2,0.16132633,1.215359417,1.215365844,1.223762705,1.844886931,1.844878522,1.862049033
10000,50,gamma,2,1.544340922,1.229246698,1.608,1.859435145,2.392,0.2,0.160688178,1.215359417,1.215365844,1.229246698,1.844886931,1.844878522,1.859435145
200,100,gamma,2,1.701833631,1.493238768,1.722814142,1.910428494,2.277185858,0.141421356,0.111504022,1.502581424,1.502598276,1.493238768,1.940417721,1.940442987,1.910428494
500,100,gamma,2,1.725158624,1.510860001,1.722814142,1.939457246,2.277185858,0.141421356,0.110312298,1.502581424,1.502598276,1.510860001,1.940417721,1.940442987,1.939457246
1000,100,gamma,2,1.728526477,1.506303822,1.722814142,1.950749131,2.277185858,0.141421356,0.112739463,1.502581424,1.502598276,1.506303822,1.940417721,1.940442987,1.950749131
2000,100,gamma,2,1.728396325,1.501878686,1.722814142,1.954913964,2.277185858,0.141421356,0.113529101,1.502581424,1.502598276,1.501878686,1.940417721,1.940442987,1.954913964
5000,100,gamma,2,1.727020307,1.505963358,1.722814142,1.948077256,2.277185858,0.141421356,0.112347029,1.502581424,1.502598276,1.505963358,1.940417721,1.940442987,1.948077256
10000,100,gamma,2,1.727934844,1.508462318,1.722814142,1.94740737,2.277185858,0.141421356,0.110871343,1.502581424,1.502598276,1.508462318,1.940417721,1.940442987,1.94740737
200,1000,gamma,2,1.883889224,1.800534261,1.912346135,1.967244188,2.087653865,0.04472136,0.045287545,1.799814244,1.799833326,1.800534261,1.960115798,1.960134339,1.967244188
500,1000,gamma,2,1.883533163,1.800814768,1.912346135,1.966251558,2.087653865,0.04472136,0.043758525,1.799814244,1.799833326,1.800814768,1.960115798,1.960134339,1.966251558
1000,1000,gamma,2,1.882392233,1.800548494,1.912346135,1.964235972,2.087653865,0.04472136,0.043038984,1.799814244,1.799833326,1.800548494,1.960115798,1.960134339,1.964235972
2000,1000,gamma,2,1.88249603,1.801567422,1.912346135,1.963424639,2.087653865,0.04472136,0.042086148,1.799814244,1.799833326,1.801567422,1.960115798,1.960134339,1.963424639
5000,1000,gamma,2,1.880679731,1.799187598,1.912346135,1.962171865,2.087653865,0.04472136,0.041506836,1.799814244,1.799833326,1.799187598,1.960115798,1.960134339,1.962171865
10000,1000,gamma,2,1.880229648,1.800810042,1.912346135,1.959649254,2.087653865,0.04472136,0.040727226,1.799814244,1.799833326,1.800810042,1.960115798,1.960134339,1.959649254
200,10,lognormal,1.648721271,1.767823874,0.69616648,0.309197234,2.839481269,2.988245307,0.683430631,0.56011358,0.528779636,0.528804587,0.69616648,2.850704639,2.850713597,2.839481269
500,10,lognormal,1.648721271,1.769813262,0.711820428,0.309197234,2.827806096,2.988245307,0.683430631,0.557241031,0.528779636,0.528804587,0.711820428,2.850704639,2.850713597,2.827806096
1000,10,lognormal,1.648721271,1.782444476,0.714179232,0.309197234,2.85070972,2.988245307,0.683430631,0.561417905,0.528779636,0.528804587,0.714179232,2.850704639,2.850713597,2.85070972
2000,10,lognormal,1.648721271,1.835924129,0.739416625,0.309197234,2.932431634,2.988245307,0.683430631,0.566599564,0.528779636,0.528804587,0.739416625,2.850704639,2.850713597,2.932431634
5000,10,lognormal,1.648721271,1.824679971,0.731531757,0.309197234,2.917828186,2.988245307,0.683430631,0.567983164,0.528779636,0.528804587,0.731531757,2.850704639,2.850713597,2.917828186
10000,10,lognormal,1.648721271,1.822842746,0.728375526,0.309197234,2.917309966,2.988245307,0.683430631,0.564922907,0.528779636,0.528804587,0.728375526,2.850704639,2.850713597,2.917309966
200,50,lognormal,1.648721271,1.631503714,1.181492475,1.04966791,2.081514954,2.247774631,0.30563947,0.237767872,1.117042498,1.11705633,1.181492475,2.052087689,2.052100004,2.081514954
500,50,lognormal,1.648721271,1.617196724,1.171954611,1.04966791,2.062438838,2.247774631,0.30563947,0.234501543,1.117042498,1.11705633,1.171954611,2.052087689,2.052100004,2.062438838
1000,50,lognormal,1.648721271,1.632829267,1.184665667,1.04966791,2.080992868,2.247774631,0.30563947,0.235102549,1.117042498,1.11705633,1.184665667,2.052087689,2.052100004,2.080992868
2000,50,lognormal,1.648721271,1.626853532,1.173636307,1.04966791,2.080070758,2.247774631,0.30563947,0.234627203,1.117042498,1.11705633,1.173636307,2.052087689,2.052100004,2.080070758
5000,50,lognormal,1.648721271,1.624056368,1.167777247,1.04966791,2.080335488,2.247774631,0.30563947,0.237421819,1.117042498,1.11705633,1.167777247,2.052087689,2.052100004,2.080335488
10000,50,lognormal,1.648721271,1.622943706,1.165604685,1.04966791,2.080282727,2.247774631,0.30563947,0.236442017,1.117042498,1.11705633,1.165604685,2.052087689,2.052100004,2.080282727
200,100,lognormal,1.648721271,1.752460957,1.376695641,1.225126577,2.128226273,2.072315964,0.216119742,0.184934911,1.315016232,1.315023548,1.376695641,1.990074737,1.990067557,2.128226273
500,100,lognormal,1.648721271,1.714993926,1.375680139,1.225126577,2.054307713,2.072315964,0.216119742,0.173236914,1.315016232,1.315023548,1.375680139,1.990074737,1.990067557,2.054307713
1000,100,lognormal,1.648721271,1.683452293,1.359284459,1.225126577,2.007620126,2.072315964,0.216119742,0.16967986,1.315016232,1.315023548,1.359284459,1.990074737,1.990067557,2.007620126
2000,100,lognormal,1.648721271,1.688937107,1.350092767,1.225126577,2.027781447,2.072315964,0.216119742,0.172436148,1.315016232,1.315023548,1.350092767,1.990074737,1.990067557,2.027781447
5000,100,lognormal,1.648721271,1.675936223,1.338215712,1.225126577,2.013656733,2.072315964,0.216119742,0.172380406,1.315016232,1.315023548,1.338215712,1.990074737,1.990067557,2.013656733
10000,100,lognormal,1.648721271,1.675201527,1.337267077,1.225126577,2.013135977,2.072315964,0.216119742,0.172116811,1.315016232,1.315023548,1.337267077,1.990074737,1.990067557,2.013135977
200,1000,lognormal,1.648721271,1.674311688,1.544743789,1.514768867,1.803879586,1.782673674,0.068343063,0.068856886,1.540918238,1.540922132,1.544743789,1.802455148,1.802452053,1.803879586
500,1000,lognormal,1.648721271,1.67827887,1.549070391,1.514768867,1.80748735,1.782673674,0.068343063,0.069167016,1.540918238,1.540922132,1.549070391,1.802455148,1.802452053,1.80748735
1000,1000,lognormal,1.648721271,1.680351062,1.549826524,1.514768867,1.8108756,1.782673674,0.068343063,0.068578652,1.540918238,1.540922132,1.549826524,1.802455148,1.802452053,1.8108756
2000,1000,lognormal,1.648721271,1.680550446,1.548815885,1.514768867,1.812285008,1.782673674,0.068343063,0.068157907,1.540918238,1.540922132,1.548815885,1.802455148,1.802452053,1.812285008
5000,1000,lognormal,1.648721271,1.677138764,1.54810193,1.514768867,1.806175597,1.782673674,0.068343063,0.066040407,1.540918238,1.540922132,1.54810193,1.802455148,1.802452053,1.806175597
10000,1000,lognormal,1.648721271,1.676421538,1.547560369,1.514768867,1.805282708,1.782673674,0.068343063,0.066372925,1.540918238,1.540922132,1.547560369,1.802455148,1.802452053,1.805282708
200,10,normal,0,0.083822568,-0.475739863,-0.619806421,0.643385,0.619806421,0.316227766,0.294902463,-0.516535835,-0.516521175,-0.475739863,0.665787123,0.665774527,0.643385
500,10,normal,0,0.087878948,-0.449697017,-0.619806421,0.625454914,0.619806421,0.316227766,0.286991888,-0.516535835,-0.516521175,-0.449697017,0.665787123,0.665774527,0.625454914
1000,10,normal,0,0.089800491,-0.449923382,-0.619806421,0.629524365,0.619806421,0.316227766,0.286380689,-0.516535835,-0.516521175,-0.449923382,0.665787123,0.665774527,0.629524365
2000,10,normal,0,0.112017232,-0.436509313,-0.619806421,0.660543777,0.619806421,0.316227766,0.289385259,-0.516535835,-0.516521175,-0.436509313,0.665787123,0.665774527,0.660543777
5000,10,normal,0,0.102495166,-0.44483547,-0.619806421,0.649825803,0.619806421,0.316227766,0.288134428,-0.516535835,-0.516521175,-0.44483547,0.665787123,0.665774527,0.649825803
10000,10,normal,0,0.096376425,-0.459031037,-0.619806421,0.651783887,0.619806421,0.316227766,0.286783284,-0.516535835,-0.516521175,-0.459031037,0.665787123,0.665774527,0.651783887
200,50,normal,0,0.045382631,-0.192427902,-0.277185858,0.283193164,0.277185858,0.141421356,0.131786804,-0.222234516,-0.222201304,-0.192427902,0.291041614,0.291047971,0.283193164
500,50,normal,0,0.021930832,-0.213506826,-0.277185858,0.257368489,0.277185858,0.141421356,0.129979732,-0.222234516,-0.222201304,-0.213506826,0.291041614,0.291047971,0.257368489
1000,50,normal,0,0.033658091,-0.215876982,-0.277185858,0.283193164,0.277185858,0.141421356,0.131316207,-0.222234516,-0.222201304,-0.215876982,0.291041614,0.291047971,0.283193164
2000,50,normal,0,0.03499973,-0.211516212,-0.277185858,0.281515673,0.277185858,0.141421356,0.128029262,-0.222234516,-0.222201304,-0.211516212,0.291041614,0.291047971,0.281515673
5000,50,normal,0,0.039082966,-0.211514561,-0.277185858,0.289680494,0.277185858,0.141421356,0.128563166,-0.222234516,-0.222201304,-0.211514561,0.291041614,0.291047971,0.289680494
